name,color,deviceType,unit,circuit,savedIndex,,
Unit 01.01 Gold FL 7  4.17a,50886,LOR,1,1,1,,
Unit 01.02 Red FL 7  4.17a,255,LOR,1,2,2,,
Unit 01.03 Gold FL 9  4.17,50886,LOR,1,3,3,,
Unit 01.04 Black hole  2.7a  MIXED,33023,LOR,1,4,4,,
"Unit 01.05 Strobe 1,2,3  1.3a",16777215,LOR,1,5,5,,
Unit 01.06 Blue LR Tree  1.65a BLUE,16711680,LOR,1,6,6,,
Unit 01.07 Spiral 1  1.0a,33023,LOR,1,7,7,,
Unit 01.08 Spiral 2  1.0a,33023,LOR,1,8,8,,
Unit 01.09 Gold FL 8  4.17a,50886,LOR,1,9,9,,
Unit 01.10 Red FL 8  4.17a,255,LOR,1,10,10,,
Unit 01.11 Green FL 8  4.17a,32768,LOR,1,11,11,,
"Unit 01.12 trees,gold,red,g/r chases  3.1a MIXED",33023,LOR,1,12,12,,
"Unit 01.13 Strobe 4,5,6  1.3a",16777215,LOR,1,13,13,,
Unit 01.14 Star Bue/Purple/Yellow LED  0.2a,16744448,LOR,1,14,14,,
Unit 01.15 Blue Tree by Pond NE  1.3a  BLUE,16711680,LOR,1,15,15,,
Unit 01.16 GREEN By Pond NE  0.6a  GREEN,32768,LOR,1,16,16,,
Unit 02.01 FTO-16 Green+green LED,65280,LOR,2,1,17,,
Unit 02.02 FTO-17 Mix LED,33023,LOR,2,2,18,,
Unit 02.03 FTO-18 Gold,65535,LOR,2,3,19,,
Unit 02.04 FTO-19 Red,255,LOR,2,4,20,,
Unit 02.05 FTO-20 Red LED,255,LOR,2,5,21,,
Unit 02.06 FTO-21 Red LED,255,LOR,2,6,22,,
Unit 02.07 FTO-22 RED LED,255,LOR,2,7,23,,
Unit 02.08 FTO-23 RED LED,255,LOR,2,8,24,,
Unit 02.09 FTO-24 RED LED,255,LOR,2,9,25,,
Unit 02.10 FTO-25 RED LED,255,LOR,2,10,26,,
Unit 02.11 FTO-26 RED LED,255,LOR,2,11,27,,
Unit 02.12 FTO-27 RED,255,LOR,2,12,28,,
Unit 02.13 FTO-28 RED,255,LOR,2,13,29,,
Unit 02.14 FTO-29 Gold,65535,LOR,2,14,30,,
Unit 02.15 FTO-30 Blue,16711680,LOR,2,15,31,,
Unit 02.16 Green FL 7  4.17a,32768,LOR,2,16,32,,
Unit 03.01 FT clear 16,8454143,LOR,3,1,33,,
Unit 03.02 FT clear 17,8454143,LOR,3,2,34,,
Unit 03.03 FT clear 18,8454143,LOR,3,3,35,,
Unit 03.04 FT clear 19,8454143,LOR,3,4,36,,
Unit 03.05 FT clear 20,8454143,LOR,3,5,37,,
Unit 03.06 FT LED 21 W,16777215,LOR,3,6,38,,
Unit 03.07 FT LED 22 W,16777215,LOR,3,7,39,,
Unit 03.08 FT LED 23 W,16777215,LOR,3,8,40,,
Unit 03.09 FT LED 24 W,16777215,LOR,3,9,41,,
Unit 03.10 FT LED 25 W,16777215,LOR,3,10,42,,
Unit 03.11 FT LED 26 W,16777215,LOR,3,11,43,,
Unit 03.12 FT LED 27 W,16777215,LOR,3,12,44,,
Unit 03.13 FT LED 28 W,16777215,LOR,3,13,45,,
Unit 03.14 FT clear 29,8454143,LOR,3,14,46,,
Unit 03.15 FT clear 30,8454143,LOR,3,15,47,,
Unit 03.16 Gold FL 10  4.17,50886,LOR,3,16,48,,
"Unit 04.01 Halogen 1,2    8.3a",8454143,LOR,4,1,49,,
Unit 04.02 Red FL 9  4.17a,255,LOR,4,2,50,,
Unit 04.03 Green FL 9  4.17a,32768,LOR,4,3,51,,
Unit 04.04 JCP S 1.38a,10223615,LOR,4,4,52,,
Unit 04.05 JCP M-1  2.38a,10223615,LOR,4,5,53,,
Unit 04.06  Bush by D/W  3.0a WHITE,16777215,LOR,4,6,54,,
"Unit 04.07 Strobe 7,8,9  1.3a",16777215,LOR,4,7,55,,
Unit 04.08 7ft tree 5  2.0a,33023,LOR,4,8,56,,
"Unit 04.09  Halogen 3,4   8.3a",8454143,LOR,4,9,57,,
Unit 04.10 Red FL 10  4.17a,255,LOR,4,10,58,,
Unit 04.11 Green FL 10  4.17a,32768,LOR,4,11,59,,
Unit 04.12 7ft tree 6  2.0a,33023,LOR,4,12,60,,
Unit 04.13 RED Amb Pond Tree  6.0a   RED,255,LOR,4,13,61,,
Unit 04.14 7ft tree 7  2.0a,33023,LOR,4,14,62,,
Unit 04.15 7ft tree 8  2.0a,33023,LOR,4,15,63,,
"Unit 04.16 Red F/L 1, 2, 3   2.5a",255,LOR,4,16,64,,
"Unit 05.01 Halogen 5,6 8.3a",8454143,LOR,5,1,65,,
Unit 05.02 JCP L-1  2.4a,10223615,LOR,5,2,66,,
Unit 05.03 Peanuts  0.7a,33023,LOR,5,3,67,,
Unit 05.04 JCP M-2  2.38a,10223615,LOR,5,4,68,,
Unit 05.05 Snowman L  .68a,8454143,LOR,5,5,69,,
Unit 05.06 Snowman S  .51a,8454143,LOR,5,6,70,,
"Unit 05.07  Willow Tree, Clear Chase   5.2a  WHITE",15724527,LOR,5,7,71,,
Unit 05.08 R/WLED CandyCane Ornament   0.2a MIXED,33023,LOR,5,8,72,,
"Unit 05.09 Halogen 7,8 8.3a",8454143,LOR,5,9,73,,
Unit 05.10 JCP L-2  2.4a,10223615,LOR,5,10,74,,
Unit 05.11 Seal  .68a,8454143,LOR,5,11,75,,
Unit 05.12  2 Seals  1.02a,8454143,LOR,5,12,76,,
"Unit 05.13 Giraffe, Elephant, Hippo  1.7a",8454143,LOR,5,13,77,,
Unit 05.14 Polar Bear L/S  1.53a,8454143,LOR,5,14,78,,
"Unit 05.15 2 Cows, Pig  1.53a",8454143,LOR,5,15,79,,
"Unit 05.16 Dolphin, added twinkle lights  .51a",8454143,LOR,5,16,80,,
"Unit 06.01 Halogen 9,10 8.3a",8454143,LOR,6,1,81,,
Unit 06.02 Gold FL 1 4.17,50886,LOR,6,2,82,,
Unit 06.03 Red FL 1  4.17a,255,LOR,6,3,83,,
Unit 06.04 Green FL 1  4.17,32768,LOR,6,4,84,,
Unit 06.05 GREEN by Pond West  0.7a  GREEN,32768,LOR,6,5,85,,
Unit 06.06 Sphere strobes,16777215,LOR,6,6,86,,
Unit 06.07 Red Light House  0.7a  RED,255,LOR,6,7,87,,
Unit 06.08 GOLD Tree LED  0.6 GOLD,65535,LOR,6,8,88,,
